temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,pressure_msl,cloud_cover,wind_speed_10m,wind_direction_10m,wind_gusts_10m,soil_temperature_0_to_7cm,hour_sin,hour_cos,day_of_year_sin,day_of_year_cos
18.713001,60.29258,10.863,0.0,1028.0,19.2,21.068459,73.11313,36.36,20.248,0.0,1.0,0.017213356155834685,0.9998518392091162
18.748,61.513184,11.198,0.0,1027.3,27.000002,20.780453,75.96373,34.92,19.448,0.25881904510252074,0.9659258262890683,0.017213356155834685,0.9998518392091162
18.348,63.702656,11.348,0.0,1027.9,29.400002,18.59845,75.42574,30.960001,18.848,0.49999999999999994,0.8660254037844387,0.017213356155834685,0.9998518392091162
17.898,66.182144,11.498,0.0,1028.2,27.6,16.279802,71.96563,28.8,18.298,0.7071067811865476,0.7071067811865476,0.017213356155834685,0.9998518392091162
17.598,68.11637,11.648,0.0,1028.1,24.900002,15.827721,72.80138,28.8,17.898,0.8660254037844386,0.5000000000000001,0.017213356155834685,0.9998518392091162
17.348,69.8882,11.798,0.0,1028.1,15.900001,15.379206,73.68607,28.08,17.648,0.9659258262890683,0.25881904510252074,0.017213356155834685,0.9998518392091162
17.098,71.944,11.998,0.0,1028.3,9.900001,14.118243,70.640915,26.28,17.348,1.0,6.123233995736766e-17,0.017213356155834685,0.9998518392091162
16.598,73.7743,11.898,0.0,1028.0,2.7,13.570615,68.19853,20.880001,16.998,0.9659258262890683,-0.25881904510252063,0.017213356155834685,0.9998518392091162
16.498,75.7256,12.198,0.0,1028.1,3.9,13.527572,64.79892,20.519999,16.748,0.8660254037844387,-0.4999999999999998,0.017213356155834685,0.9998518392091162
16.398,77.72528,12.498,0.0,1027.8,14.1,13.684735,63.435013,20.880001,16.548,0.7071067811865476,-0.7071067811865475,0.017213356155834685,0.9998518392091162
16.048,80.527176,12.698,0.0,1027.8,13.200001,12.55879,62.70051,20.880001,16.248,0.49999999999999994,-0.8660254037844387,0.017213356155834685,0.9998518392091162
15.997999,81.31523,12.798,0.0,1027.7,1.2,12.397806,64.17907,18.72,16.148,0.258819045102521,-0.9659258262890682,0.017213356155834685,0.9998518392091162
15.598,83.69502,12.848,0.0,1028.6,9.3,11.91812,64.98315,17.28,15.898,1.2246467991473532e-16,-1.0,0.017213356155834685,0.9998518392091162
15.598,84.24414,12.948,0.0,1028.7,16.800001,12.879752,63.435013,17.64,15.848,-0.2588190451025208,-0.9659258262890683,0.017213356155834685,0.9998518392091162
17.248,77.85409,13.348,0.0,1029.5,22.5,14.512064,66.61476,23.4,17.398,-0.4999999999999997,-0.8660254037844388,0.017213356155834685,0.9998518392091162
19.248,69.57259,13.548,0.0,1029.3,28.800001,15.379206,73.68607,27.0,19.998,-0.7071067811865471,-0.7071067811865479,0.017213356155834685,0.9998518392091162
20.848,63.01352,13.548,0.0,1028.6,30.000002,17.462784,81.70294,30.960001,22.398,-0.8660254037844385,-0.5000000000000004,0.017213356155834685,0.9998518392091162
22.148,55.05246,12.698,0.0,1027.6,77.7,24.905132,94.14455,42.12,24.298,-0.9659258262890683,-0.25881904510252063,0.017213356155834685,0.9998518392091162
22.298,52.617798,12.148,0.0,1026.9,100.0,22.461807,96.441505,37.8,24.248,-1.0,-1.8369701987210297e-16,0.017213356155834685,0.9998518392091162
22.598,50.991367,11.948,0.0,1026.5,100.0,18.751125,93.301796,33.48,24.748,-0.9659258262890684,0.2588190451025203,0.017213356155834685,0.9998518392091162
22.498,50.62991,11.748,0.0,1026.5,66.3,15.84409,88.69808,30.239998,24.398,-0.8660254037844386,0.5000000000000001,0.017213356155834685,0.9998518392091162
22.148,53.450783,12.248,0.0,1026.4,74.100006,14.440443,85.71093,26.64,23.598,-0.7071067811865477,0.7071067811865474,0.017213356155834685,0.9998518392091162
21.498,56.165607,12.398,0.0,1026.4,66.3,12.9249525,77.125,21.96,22.548,-0.5000000000000004,0.8660254037844384,0.017213356155834685,0.9998518392091162
20.498,60.315548,12.548,0.0,1026.7,73.8,13.32,71.075264,21.96,21.248,-0.25881904510252157,0.9659258262890681,0.017213356155834685,0.9998518392091162
19.698,64.21171,12.748,0.0,1027.0,64.8,14.118243,70.640915,24.119999,20.198,0.0,1.0,0.03442161162274574,0.9994074007397048
19.048,67.08047,12.798,0.0,1027.3,54.6,14.118243,70.640915,24.119999,19.448,0.25881904510252074,0.9659258262890683,0.03442161162274574,0.9994074007397048
18.448,69.64392,12.798,0.0,1027.4,49.800003,14.458382,71.11382,23.4,18.798,0.49999999999999994,0.8660254037844387,0.03442161162274574,0.9994074007397048
17.798,72.07234,12.698,0.0,1027.1,62.4,13.661038,71.564964,20.519999,18.148,0.7071067811865476,0.7071067811865476,0.03442161162274574,0.9994074007397048
17.098,75.08236,12.648,0.0,1026.9,35.1,14.934577,74.623695,18.72,17.548,0.8660254037844386,0.5000000000000001,0.03442161162274574,0.9994074007397048
16.548,77.49374,12.598,0.0,1026.4,45.9,14.145756,75.25639,18.0,16.998,0.9659258262890683,0.25881904510252074,0.03442161162274574,0.9994074007397048
15.997999,80.256996,12.598,0.0,1026.9,76.5,13.1041975,74.054535,16.199999,16.498,1.0,6.123233995736766e-17,0.03442161162274574,0.9994074007397048
15.498,83.683426,12.748,0.0,1026.6,84.00001,12.522619,71.564964,19.08,16.098,0.9659258262890683,-0.25881904510252063,0.03442161162274574,0.9994074007397048
15.148,86.14619,12.848,0.0,1026.3,77.7,11.770403,66.5713,18.0,15.698,0.8660254037844387,-0.4999999999999998,0.03442161162274574,0.9994074007397048
14.948,87.54718,12.898,0.0,1025.8,23.400002,11.503113,69.86362,18.0,15.398,0.7071067811865476,-0.7071067811865475,0.03442161162274574,0.9994074007397048
